13.224.41.84#US,Arizona,Phoenix
104.16.65.1#US,California,San Francisco
43.174.51.171#SG,Singapore,Singapore
13.227.133.167#PL,Mazovia,Warsaw
18.154.100.127#US,Colorado,Aetna Estates
65.8.158.61#US,California,San Jose
43.159.104.64#SG,Singapore,Singapore
104.16.31.215#US,California,San Francisco
43.159.95.196#SG,Singapore,Singapore
13.249.144.190#JP,Osaka,Osaka
13.226.87.215#US,California,El Segundo
13.32.100.230#DE,Hesse,Mörfelden-Walldorf
43.174.242.223#HK,Hong Kong,Hong Kong
13.35.224.190#SG,Singapore,Singapore
43.174.32.120#SG,Singapore,Singapore
43.159.106.74#SG,Singapore,Singapore
43.174.228.235#SG,Singapore,Singapore
43.174.243.166#HK,Hong Kong,Hong Kong
43.175.165.64#NL,North Holland,Amsterdam
43.174.154.67#HK,Hong Kong,Hong Kong
104.16.105.166#US,California,San Francisco
104.16.126.73#US,California,San Francisco
104.17.69.244#US,California,San Francisco
104.17.60.203#US,California,San Francisco
104.17.113.121#US,California,San Francisco
104.17.139.37#US,California,San Francisco
104.17.93.108#US,California,San Francisco
104.18.191.208#US,California,San Francisco
104.18.3.253#US,California,San Francisco
104.17.142.212#US,California,San Francisco
104.18.81.19#US,California,San Francisco
104.18.189.153#US,California,San Francisco
104.18.151.172#US,California,San Francisco
104.17.186.104#US,California,San Francisco
104.18.166.129#US,California,San Francisco
104.17.162.3#US,California,San Francisco
104.18.156.6#US,California,San Francisco
104.17.214.31#US,California,San Francisco
104.18.39.60#US,California,San Francisco
104.17.167.134#US,California,San Francisco
104.18.89.52#US,California,San Francisco
104.18.41.249#US,California,San Francisco
104.17.255.68#US,California,San Francisco
104.17.169.178#US,California,San Francisco
104.18.223.253#US,California,San Francisco
104.18.254.173#US,California,San Francisco
104.18.255.167#US,California,San Francisco
162.159.10.208#US,California,San Francisco
104.19.154.200#US,California,San Francisco
108.162.198.91#US,California,San Francisco
108.138.0.168#DE,Hesse,Mörfelden-Walldorf
104.26.4.90#US,California,San Francisco
104.19.220.22#US,California,San Francisco
104.19.148.121#US,California,San Francisco
104.27.109.33#US,California,San Francisco
104.19.61.91#US,California,San Francisco
143.204.100.7#DE,Hesse,Mörfelden-Walldorf
104.31.16.158#US,California,San Francisco
104.19.212.207#US,California,San Francisco
104.26.3.162#US,California,San Francisco
104.26.5.134#US,California,San Francisco
162.159.16.109#US,California,San Francisco
108.162.198.199#US,California,San Francisco
104.21.77.1#US,California,San Francisco
104.19.207.92#US,California,San Francisco
104.21.237.120#US,California,San Francisco
104.26.8.117#US,California,San Francisco
162.159.48.192#US,California,San Francisco
162.159.45.199#US,California,San Francisco
162.159.44.92#US,California,San Francisco
162.159.44.87#US,California,San Francisco
162.159.38.81#US,California,San Francisco
162.159.45.47#US,California,San Francisco
162.159.58.65#US,California,San Francisco
162.159.24.35#US,California,San Francisco
162.159.16.135#US,California,San Francisco
162.159.39.65#US,California,San Francisco
162.159.136.89#US,California,San Francisco
162.159.135.251#US,California,San Francisco
162.159.38.89#US,California,San Francisco
162.159.137.204#US,California,San Francisco
162.159.128.253#US,California,San Francisco
162.159.61.183#US,California,San Francisco
162.159.24.131#US,California,San Francisco
162.159.39.250#US,California,San Francisco
162.159.140.116#US,California,San Francisco
162.159.140.85#US,California,San Francisco
172.64.48.226#US,California,San Francisco
172.64.41.122#US,California,San Francisco
172.64.82.114#US,California,San Francisco
172.64.69.169#US,California,San Francisco
172.64.52.127#US,California,San Francisco
198.41.209.210#US,California,San Francisco
172.64.229.7#US,California,San Francisco
172.67.173.61#US,California,San Francisco
172.64.146.186#US,California,San Francisco
172.64.229.101#US,California,San Francisco
172.64.91.26#US,California,San Francisco
198.41.194.162#US,California,San Francisco
198.41.208.224#US,California,San Francisco
172.67.228.115#US,California,San Francisco
173.245.49.194#US,California,San Francisco
172.64.91.69#US,California,San Francisco
198.41.208.15#US,California,San Francisco
172.67.136.158#US,California,San Francisco
